name,contact,email,reg_no
Aman Kumar Gupta,7699631711,kyasg9631@gmail.com,KNU20102004461
Rishabh Agarwal,8972392096,18r.agarwal@gmiail.com,KNU20102004463
Ruchika Agarwal,7001089033,kyasfdd9631@gmail.com,KNU20102004462
Ritika Garg,8918170917,sdfdsrgfdr@xfdf.com,KNU20102004464
Bijoy Chakraborty,7699631745,sgfdfgd@sfdrf.com,KNU20102004465
Sourajyoti Mukherjee,7699631523,fdsfdsf@sdfdcds.com,KNU20102004466
Syan Sarkar,9563379923,sefresfger@dgfdt.com,KNU20102004467
Akash Sen,9432963210,vgdfgvdfrgd@sdcse.com,KNU20102004468
Rahul Sharma,7896325412,sfserfsfsf@sfresf.com,KNU20102004469
Raj Kumar Jha,7895212630,sfdrf@sad.com,KNU20102004470
Disha Chatterjee,9652874515,sfsefs@sfs.com,KNU20102004471
Bidhisha Chaterjee,8951355260,gftghyrtgh@adfef.com,KNU20102004472
Anisha Maurya,8569232545,fsefrs@sdfrs.com,KNU20102004473
Souvik Dan,7001289632,fref@wesfrw.com,KNU20102004474
Rana Dawn,7463982524,sfrdsg@sdfwse.com,KNU20102004475
Sourav Yadav,8596321485,dgdfg@dfgdrg.com,KNU20102004476
